brand,model,year,fuel,transmission,km_driven,owner_count,engine_cc,price
Mercedes,C Class,2016,Electric,Manual,31336,0,4000,29992.54
Tesla,Model X,2012,Diesel,Automatic,1412,3,4000,35384.79
Tesla,Model X,2019,Hybrid,Automatic,43666,3,1000,49911.9
Bugatti,Chiron,2008,Diesel,Manual,3943,2,4000,1011032.32
Mercedes,GLE,2019,Petrol,Manual,48374,3,1000,33434.01
Porsche,Panamera,2018,Hybrid,Automatic,12769,0,4000,72049.78
Porsche,Panamera,2005,Diesel,Automatic,1000,2,1500,36183.35
Porsche,Cayenne,2013,Electric,Automatic,35628,2,4000,54719.6
Audi,A4,2006,Petrol,Automatic,67270,0,4000,19147.96
Audi,A4,2018,Petrol,Automatic,61428,0,1500,29357.7
Audi,A4,2010,Petrol,Manual,29064,2,4000,18178.09
Tesla,Model Y,2015,Petrol,Automatic,71388,1,2000,42851.03
Porsche,911,2011,Diesel,Automatic,50924,0,4000,48362.45
Porsche,Panamera,2015,Hybrid,Manual,5581,2,1000,58184.47
Bugatti,Chiron,2020,Hybrid,Manual,10191,0,3000,2154398.81
Tesla,Model S,2010,Petrol,Automatic,1000,0,2000,33857.42
Mercedes,C Class,2015,Diesel,Manual,102862,2,1000,23744.09
Porsche,911,2022,Hybrid,Manual,1503,0,1500,89360.25
Porsche,Cayenne,2008,Electric,Manual,97200,0,4000,36930.24
Porsche,Panamera,2014,Electric,Manual,16928,2,4000,54340.96
Bugatti,Chiron,2009,Electric,Automatic,39953,0,4000,1307545.02
Mercedes,C Class,2013,Hybrid,Manual,95837,3,1500,19367.09
Tesla,Model S,2013,Hybrid,Automatic,23078,1,2000,35836.01
Tesla,Model X,2010,Hybrid,Automatic,34359,3,1000,28448.16
Tesla,Model 3,2011,Petrol,Automatic,49406,3,3000,32898.93
Mercedes,C Class,2016,Electric,Manual,15570,1,2000,33323.22
Tesla,Model X,2012,Electric,Automatic,16032,1,1500,37476.54
Porsche,Panamera,2005,Diesel,Manual,41275,0,2000,40035.34
Porsche,Cayenne,2019,Petrol,Automatic,5808,0,1500,82144.63
Audi,Q7,2022,Electric,Manual,32892,0,3000,39929.6
Porsche,Panamera,2020,Diesel,Automatic,6401,3,2000,69479.74
BMW,3 Series,2010,Diesel,Automatic,95750,2,3000,13686.29
Tesla,Model Y,2011,Diesel,Automatic,5987,0,2000,36216.26
Porsche,911,2013,Hybrid,Manual,93196,0,4000,66211.24
Bugatti,Chiron,2018,Petrol,Automatic,42130,0,4000,2110358.12
Porsche,911,2005,Petrol,Manual,1000,3,1000,32484.7
Porsche,911,2008,Hybrid,Manual,1000,1,4000,42772.69
Mercedes,C Class,2014,Electric,Automatic,25166,3,1500,19417.55
Bugatti,Chiron,2012,Petrol,Automatic,163294,2,4000,1421094.15
Porsche,Cayenne,2020,Diesel,Manual,6851,2,1000,72406.32
Tesla,Model S,2010,Electric,Manual,18373,0,1000,35611.63
Tesla,Model Y,2020,Electric,Automatic,84787,0,1000,55452.15
Tesla,Model 3,2013,Electric,Automatic,20769,2,3000,39748.16
Porsche,Cayenne,2017,Petrol,Manual,5114,0,4000,62514.6
Mercedes,GLE,2021,Diesel,Manual,29058,2,3000,38540.69
Mercedes,C Class,2011,Petrol,Automatic,66984,0,2000,24028.6
Mercedes,E Class,2022,Hybrid,Automatic,4454,0,3000,44612.92
Bugatti,Chiron,2011,Hybrid,Manual,7233,3,1000,1436504.49
Audi,A4,2007,Petrol,Automatic,59754,1,1000,13461.44
Audi,A4,2013,Hybrid,Automatic,32949,3,4000,19138.03
Mercedes,E Class,2015,Electric,Automatic,50543,0,3000,29193.93
Porsche,Cayenne,2005,Hybrid,Automatic,39941,0,1500,39242.77
Mercedes,GLE,2014,Hybrid,Manual,9298,2,1000,22738.03
Tesla,Model S,2016,Petrol,Manual,3633,1,1500,43963.68
Mercedes,E Class,2009,Diesel,Automatic,10883,1,3000,20358.14
Bugatti,Chiron,2006,Hybrid,Manual,62916,1,4000,937221.69
Mercedes,GLE,2010,Diesel,Manual,23380,1,3000,24815.05
Porsche,Panamera,2013,Hybrid,Automatic,45798,0,1500,50574.95
Bugatti,Chiron,2006,Diesel,Automatic,10071,2,1500,1078777.78
Porsche,Cayenne,2018,Petrol,Manual,5249,1,1500,62768.11
Porsche,Cayenne,2006,Electric,Manual,1609,3,1500,31844.68
Bugatti,Chiron,2005,Petrol,Automatic,149344,0,1000,976587.37
Audi,A4,2016,Electric,Manual,104232,3,4000,18628.3
Bugatti,Chiron,2020,Diesel,Manual,95664,2,1000,2109961.88
Audi,A4,2014,Electric,Automatic,12556,0,1000,26104.59
Bugatti,Chiron,2009,Hybrid,Automatic,1314,1,1500,1511836.86
Bugatti,Chiron,2008,Electric,Manual,69725,3,4000,1137660.25
Audi,Q7,2019,Petrol,Manual,5723,3,1000,23288.44
Mercedes,E Class,2013,Hybrid,Manual,26420,1,2000,21461.15
BMW,X5,2021,Electric,Manual,28753,2,2000,34882.62
Audi,A6,2009,Hybrid,Automatic,1000,1,3000,17704.97
Bugatti,Chiron,2022,Diesel,Manual,10911,2,3000,2271457.25
Tesla,Model S,2008,Diesel,Automatic,40739,0,3000,31144.37
Audi,A4,2013,Petrol,Automatic,11345,3,3000,17342.53
BMW,3 Series,2014,Petrol,Manual,2975,1,1000,27448.53
Audi,A6,2011,Hybrid,Manual,24189,1,1000,16277.25
Porsche,Panamera,2016,Electric,Automatic,48364,0,1500,65657.85
BMW,5 Series,2006,Diesel,Automatic,1909,0,1000,16988.51
Bugatti,Chiron,2019,Hybrid,Manual,52637,0,1500,2096924.26
Bugatti,Chiron,2015,Diesel,Manual,38306,2,3000,1718257.51
Audi,A6,2017,Diesel,Manual,11606,3,1500,23787.43
Mercedes,E Class,2007,Diesel,Manual,39649,3,2000,10610.96
Porsche,Panamera,2014,Petrol,Automatic,48604,2,3000,55012.34
BMW,X5,2022,Diesel,Manual,1000,3,1000,34166.6
Audi,Q7,2007,Electric,Manual,30694,2,2000,12804.59
Tesla,Model Y,2015,Petrol,Automatic,46516,1,1500,46665.92
Audi,Q7,2005,Petrol,Manual,14872,3,1500,11767.95
Bugatti,Chiron,2021,Diesel,Automatic,25705,3,1500,2229474.63
Audi,A6,2012,Petrol,Manual,10507,2,3000,18046.99
Bugatti,Chiron,2006,Petrol,Automatic,1490,0,1000,955847.42
Porsche,911,2007,Hybrid,Manual,53280,3,1500,37290.54
BMW,5 Series,2016,Hybrid,Automatic,1000,0,1500,33416.18
Tesla,Model 3,2011,Diesel,Manual,24747,1,1500,40015.66
Mercedes,E Class,2022,Diesel,Manual,64669,2,4000,38516.81
Bugatti,Chiron,2008,Diesel,Automatic,1000,3,3000,993830.58
Tesla,Model 3,2016,Petrol,Manual,43262,2,3000,52030.97
Audi,A4,2017,Petrol,Manual,55424,0,1000,26686.15
Audi,Q7,2022,Hybrid,Automatic,23878,3,1000,30434.27
Porsche,911,2021,Hybrid,Manual,17786,1,3000,81962.57
Bugatti,Chiron,2017,Hybrid,Automatic,11350,3,3000,1969719.52
BMW,X5,2014,Hybrid,Automatic,5113,3,3000,23255.91
Tesla,Model 3,2011,Electric,Automatic,31707,0,1000,39195.41
Bugatti,Chiron,2010,Diesel,Automatic,36355,0,2000,1259327.73
Mercedes,GLE,2019,Petrol,Manual,16568,1,4000,33179.17
BMW,3 Series,2022,Hybrid,Manual,63443,1,3000,39393.45
Mercedes,E Class,2020,Diesel,Manual,14678,2,1000,34524.11
Audi,Q7,2015,Hybrid,Automatic,94460,0,2000,26271.03
BMW,X5,2018,Electric,Manual,6274,2,4000,28903.19
BMW,3 Series,2011,Diesel,Automatic,7475,2,1000,22480.51
Audi,A4,2018,Hybrid,Manual,43205,2,3000,23544.49
BMW,3 Series,2013,Petrol,Automatic,54414,2,4000,24158.22
BMW,5 Series,2010,Petrol,Automatic,28646,1,1500,17944.5
Bugatti,Chiron,2011,Hybrid,Manual,14211,0,2000,1487838.0
Bugatti,Chiron,2022,Hybrid,Automatic,7594,1,2000,2439616.36
Audi,A4,2020,Electric,Automatic,12586,0,4000,36206.54
BMW,5 Series,2013,Diesel,Automatic,2614,2,3000,22584.5
Bugatti,Chiron,2019,Electric,Manual,7525,2,4000,2036238.44
Tesla,Model S,2006,Diesel,Automatic,53074,1,1500,24201.14
BMW,5 Series,2015,Hybrid,Automatic,14682,0,1500,25725.5
Audi,A6,2006,Electric,Automatic,84855,1,4000,12862.0
Mercedes,C Class,2019,Diesel,Manual,7156,2,1000,27833.79
Porsche,Panamera,2013,Petrol,Manual,3140,1,1000,54119.65
Porsche,911,2008,Hybrid,Automatic,11052,3,4000,27914.96
Audi,Q7,2013,Diesel,Automatic,23165,3,4000,17873.56
BMW,X5,2013,Hybrid,Automatic,2666,2,1500,22922.42
Tesla,Model Y,2022,Hybrid,Automatic,46557,3,4000,61145.84
Porsche,911,2012,Petrol,Automatic,18886,1,1000,48070.04
Mercedes,E Class,2021,Hybrid,Manual,134327,2,2000,32275.43
BMW,X5,2020,Electric,Automatic,5473,3,1000,34103.56
Porsche,911,2022,Hybrid,Manual,41003,1,1500,82238.64
BMW,3 Series,2011,Electric,Automatic,96573,3,4000,18590.69
BMW,5 Series,2012,Diesel,Automatic,31870,1,1000,22879.19
Porsche,Panamera,2017,Hybrid,Automatic,2188,3,1500,63033.57
Porsche,Cayenne,2010,Electric,Automatic,73925,3,2000,35629.93
Mercedes,GLE,2007,Diesel,Automatic,67386,3,2000,13038.3
BMW,3 Series,2019,Hybrid,Automatic,16440,3,1000,28202.7
Bugatti,Chiron,2006,Diesel,Manual,21387,1,2000,1110448.55
Audi,A6,2022,Electric,Automatic,8642,0,4000,35769.37
Porsche,Panamera,2005,Hybrid,Automatic,24585,3,1000,33612.4
BMW,3 Series,2021,Diesel,Manual,18493,3,2000,33755.26
BMW,X5,2007,Petrol,Manual,11245,1,3000,16446.91
BMW,3 Series,2016,Hybrid,Manual,24701,2,1500,23723.28
Tesla,Model S,2013,Petrol,Automatic,37526,3,1500,35041.54
BMW,X5,2010,Diesel,Manual,28945,2,3000,19497.71
Bugatti,Chiron,2009,Diesel,Automatic,67345,1,4000,1300526.24
Audi,Q7,2012,Hybrid,Automatic,51960,3,2000,14861.03
Audi,A6,2006,Petrol,Automatic,16978,2,2000,9908.37
Porsche,Panamera,2019,Electric,Manual,21347,3,4000,57941.51
BMW,5 Series,2021,Electric,Manual,8126,1,3000,37566.0
BMW,3 Series,2018,Electric,Manual,1000,2,4000,30004.83
BMW,5 Series,2019,Diesel,Manual,10128,2,1500,30528.7
Porsche,Panamera,2022,Electric,Automatic,8168,3,3000,84058.31
Porsche,911,2020,Hybrid,Manual,26986,1,4000,75485.98
Porsche,911,2011,Petrol,Manual,53764,0,1000,48772.12
Bugatti,Chiron,2017,Hybrid,Automatic,82414,3,2000,1786725.43
Mercedes,GLE,2020,Diesel,Manual,7434,0,4000,36116.4
Bugatti,Chiron,2022,Petrol,Automatic,63439,3,1000,2500401.33
Mercedes,GLE,2022,Electric,Automatic,7790,0,1000,43289.78
Tesla,Model 3,2019,Diesel,Automatic,39642,2,2000,51175.42
Porsche,Cayenne,2021,Hybrid,Automatic,13900,2,2000,85501.76
Porsche,911,2020,Diesel,Automatic,17189,0,4000,77238.48
Audi,A6,2009,Electric,Automatic,7519,2,2000,12625.51
Tesla,Model S,2005,Electric,Manual,12512,2,3000,23458.83
Bugatti,Chiron,2006,Electric,Manual,36078,0,4000,1081256.77
Audi,A6,2005,Electric,Manual,12056,3,4000,8466.03
Audi,A6,2005,Petrol,Automatic,15526,3,2000,12610.26
Mercedes,GLE,2016,Petrol,Automatic,34132,3,3000,32049.65
Audi,A4,2017,Diesel,Automatic,43651,2,4000,25441.5
Bugatti,Chiron,2017,Petrol,Automatic,7741,2,3000,1759787.92
Tesla,Model X,2014,Electric,Automatic,14908,1,1500,45348.43
Porsche,Panamera,2008,Petrol,Manual,73620,3,1000,37641.31
Tesla,Model Y,2015,Diesel,Automatic,15564,3,2000,45575.72
Tesla,Model S,2005,Electric,Automatic,135030,0,1000,20199.79
Mercedes,E Class,2021,Petrol,Automatic,1914,3,4000,29453.2
BMW,3 Series,2020,Diesel,Automatic,25816,3,1000,31494.29
Audi,A4,2008,Hybrid,Manual,6803,1,3000,19109.57
Mercedes,C Class,2021,Petrol,Automatic,1505,3,2000,29742.43
Bugatti,Chiron,2022,Electric,Automatic,90810,1,3000,2344887.43
BMW,3 Series,2022,Electric,Manual,13813,0,1500,46684.23
Audi,A4,2008,Electric,Manual,2130,0,4000,19191.68
Tesla,Model X,2021,Hybrid,Manual,9417,1,4000,63338.37
Mercedes,C Class,2022,Diesel,Manual,3606,0,2000,41062.83
Tesla,Model X,2005,Electric,Automatic,21181,0,1000,30042.84
Audi,A4,2022,Petrol,Manual,10903,0,2000,37644.98
Mercedes,C Class,2013,Petrol,Automatic,14865,0,3000,29582.6
Mercedes,GLE,2016,Diesel,Automatic,6535,0,1500,33108.61
Porsche,Panamera,2020,Hybrid,Manual,59949,2,3000,71981.24
Mercedes,GLE,2010,Hybrid,Manual,15697,2,1500,21703.63
BMW,3 Series,2019,Petrol,Automatic,14588,3,1500,26752.64
Audi,Q7,2009,Petrol,Manual,10345,1,3000,19710.16
Tesla,Model Y,2018,Electric,Manual,22396,2,3000,51805.27
Tesla,Model X,2019,Diesel,Manual,32123,2,4000,47799.75
Mercedes,E Class,2021,Hybrid,Manual,82172,3,3000,31585.77
Porsche,Panamera,2022,Electric,Manual,30379,2,3000,79099.37
BMW,5 Series,2020,Hybrid,Manual,24052,1,1500,33844.38
Bugatti,Chiron,2017,Electric,Automatic,1000,1,1000,1951126.37
Porsche,Panamera,2022,Hybrid,Automatic,30885,0,2000,87457.66
Mercedes,C Class,2018,Hybrid,Automatic,18389,2,1000,31055.35
Mercedes,C Class,2022,Hybrid,Automatic,35390,0,1000,43804.81
Audi,A4,2010,Electric,Manual,13296,0,3000,18653.76
Audi,A6,2021,Diesel,Manual,1271,1,1000,34725.55
BMW,3 Series,2005,Electric,Manual,7418,3,1500,12083.02
Tesla,Model X,2007,Hybrid,Manual,34051,1,4000,29815.09
BMW,5 Series,2018,Diesel,Manual,49958,3,3000,32876.42
Bugatti,Chiron,2021,Electric,Manual,23805,0,3000,2075532.73
Tesla,Model S,2020,Diesel,Automatic,16277,0,4000,60245.13
Bugatti,Chiron,2010,Hybrid,Manual,3385,1,4000,1213408.67
Audi,A4,2017,Hybrid,Automatic,18290,2,1500,25769.61
Bugatti,Chiron,2022,Diesel,Automatic,57790,0,1500,2473046.89
BMW,3 Series,2017,Petrol,Automatic,34367,2,4000,31154.77
Mercedes,GLE,2011,Diesel,Manual,51191,3,1500,18412.26
Tesla,Model Y,2014,Petrol,Manual,67408,2,3000,36340.96
Mercedes,E Class,2011,Petrol,Automatic,15372,0,4000,25346.15
Tesla,Model S,2007,Petrol,Automatic,91584,2,1000,26757.61
BMW,5 Series,2020,Petrol,Automatic,153915,0,4000,33724.39
Tesla,Model X,2014,Hybrid,Manual,20477,3,3000,41256.91
Audi,Q7,2013,Hybrid,Manual,2369,1,1000,21819.87
Porsche,Cayenne,2007,Hybrid,Automatic,5125,0,4000,34878.48
Porsche,911,2012,Electric,Automatic,49241,2,3000,45549.94
Mercedes,C Class,2015,Diesel,Automatic,37396,1,4000,27409.92
BMW,5 Series,2008,Diesel,Manual,35401,3,3000,14408.83
BMW,3 Series,2007,Hybrid,Automatic,6710,3,2000,9949.16
Mercedes,E Class,2006,Hybrid,Manual,23917,3,4000,12841.08
Porsche,Cayenne,2020,Hybrid,Manual,32680,1,2000,81138.34
Porsche,Cayenne,2010,Electric,Automatic,5571,3,4000,43880.23
Tesla,Model X,2020,Petrol,Automatic,15871,2,2000,58844.47
Audi,Q7,2021,Diesel,Automatic,26354,3,2000,30496.59
Tesla,Model X,2014,Petrol,Automatic,19232,0,4000,42773.21
BMW,5 Series,2021,Electric,Automatic,2266,1,2000,40843.44
Porsche,Panamera,2019,Electric,Manual,7964,2,1500,65153.52
BMW,X5,2022,Diesel,Automatic,23714,2,1500,38456.88
Mercedes,E Class,2018,Electric,Manual,60461,0,2000,35601.49
Porsche,911,2007,Petrol,Automatic,61813,3,1000,31988.54
Mercedes,C Class,2012,Petrol,Manual,24323,2,4000,19235.59
BMW,5 Series,2022,Petrol,Automatic,87308,2,1000,36713.86
Bugatti,Chiron,2007,Petrol,Manual,59209,1,1500,1282105.61
BMW,3 Series,2013,Diesel,Manual,38397,0,1000,25665.17
Bugatti,Chiron,2019,Diesel,Automatic,11000,3,3000,1943812.71
Bugatti,Chiron,2009,Hybrid,Automatic,49329,3,1000,1103394.99
BMW,5 Series,2012,Diesel,Automatic,1000,2,2000,22942.54
Audi,A4,2018,Petrol,Automatic,17280,0,2000,32564.87
Bugatti,Chiron,2008,Diesel,Automatic,65686,0,2000,1158943.12
Porsche,Cayenne,2017,Electric,Automatic,28939,0,4000,66149.66
BMW,5 Series,2010,Petrol,Manual,15248,0,1000,22097.7
Bugatti,Chiron,2020,Petrol,Manual,85498,3,1500,2392920.31
BMW,5 Series,2013,Petrol,Manual,19475,1,1500,23131.67
Mercedes,E Class,2015,Hybrid,Automatic,47618,2,1000,23086.3
Porsche,911,2010,Petrol,Manual,8367,1,4000,50273.25
Bugatti,Chiron,2017,Hybrid,Automatic,34663,3,2000,1772692.54
Audi,A6,2006,Diesel,Manual,100507,1,1500,9853.28
Tesla,Model Y,2008,Petrol,Manual,13624,1,1500,31338.07
Mercedes,C Class,2020,Hybrid,Manual,3628,2,1000,35292.33
Mercedes,C Class,2006,Electric,Automatic,78021,2,3000,11874.21
Porsche,Cayenne,2021,Hybrid,Automatic,23450,2,3000,83804.83
Tesla,Model 3,2014,Electric,Automatic,37254,2,3000,40378.4
Bugatti,Chiron,2013,Petrol,Manual,11706,1,1500,1629337.72
Bugatti,Chiron,2013,Petrol,Manual,65516,2,1000,1275655.79
Porsche,Panamera,2018,Diesel,Automatic,66858,1,1500,61428.05
Mercedes,GLE,2014,Hybrid,Manual,50079,1,3000,24727.31
BMW,3 Series,2008,Diesel,Manual,39754,0,1500,20823.76
Bugatti,Chiron,2013,Petrol,Automatic,49800,0,4000,1124741.17
Audi,A6,2012,Diesel,Automatic,2463,0,1000,27271.61
BMW,X5,2005,Petrol,Automatic,1332,3,4000,9875.86
Mercedes,E Class,2006,Diesel,Automatic,30977,0,1000,18719.09
BMW,3 Series,2008,Hybrid,Automatic,6470,1,4000,22016.36
Tesla,Model Y,2008,Petrol,Automatic,67580,2,1000,26907.46
Bugatti,Chiron,2007,Hybrid,Manual,1000,3,2000,1135940.19
Tesla,Model S,2014,Petrol,Manual,5319,2,1500,34512.91
Tesla,Model S,2007,Diesel,Manual,43609,1,4000,26062.01
BMW,X5,2015,Diesel,Automatic,130987,3,3000,17059.16
Audi,A6,2015,Petrol,Automatic,51734,2,1000,20425.24
Mercedes,C Class,2005,Electric,Manual,19383,1,3000,15893.48
Mercedes,E Class,2019,Electric,Manual,30457,3,1500,26084.36
Audi,A6,2015,Electric,Automatic,7309,1,2000,21211.57
Bugatti,Chiron,2014,Hybrid,Automatic,3875,1,1500,1441969.01
Audi,A4,2012,Petrol,Manual,171250,0,1500,20731.45
Porsche,Panamera,2012,Diesel,Automatic,21664,1,2000,50481.06
BMW,5 Series,2020,Electric,Manual,1000,2,2000,31033.34
Mercedes,E Class,2021,Diesel,Manual,9081,3,3000,36379.07
Tesla,Model S,2022,Diesel,Manual,53461,3,1000,61370.66
Audi,A4,2007,Hybrid,Automatic,31430,0,1000,16890.04
Tesla,Model 3,2012,Electric,Manual,36269,0,2000,41699.07
BMW,3 Series,2008,Hybrid,Manual,111499,0,1500,23112.05
BMW,X5,2017,Diesel,Manual,1014,1,2000,31854.17
Audi,A6,2008,Hybrid,Manual,16364,0,4000,16263.36
Tesla,Model S,2013,Petrol,Manual,46186,0,4000,41290.64
Porsche,911,2019,Diesel,Manual,4432,0,2000,71329.73
BMW,3 Series,2021,Petrol,Manual,11244,2,4000,36186.42
Bugatti,Chiron,2006,Diesel,Manual,26475,2,1500,1149010.98
BMW,5 Series,2022,Petrol,Automatic,12787,2,1000,42134.94
Porsche,Cayenne,2011,Electric,Automatic,1000,0,1500,52536.16
BMW,X5,2018,Petrol,Automatic,22946,2,1000,29790.37
Porsche,911,2005,Petrol,Manual,23186,0,3000,34530.16
Bugatti,Chiron,2021,Diesel,Manual,8462,1,3000,2261799.02
BMW,3 Series,2009,Electric,Manual,4088,3,1000,14635.09
Bugatti,Chiron,2020,Diesel,Manual,65962,2,2000,2115564.63
Audi,Q7,2009,Hybrid,Automatic,13770,1,2000,20427.77
Mercedes,GLE,2011,Hybrid,Automatic,35130,1,4000,21767.98
BMW,5 Series,2014,Electric,Automatic,61486,3,2000,19577.91
Mercedes,GLE,2020,Hybrid,Automatic,3068,2,1500,34308.61
Mercedes,E Class,2021,Petrol,Manual,17565,2,4000,37544.67
Audi,Q7,2015,Electric,Automatic,9728,0,4000,29469.36
Mercedes,GLE,2019,Electric,Automatic,9194,3,1500,33399.81
Porsche,Panamera,2017,Petrol,Automatic,111858,2,2000,56361.05
Porsche,Cayenne,2005,Petrol,Manual,27644,3,2000,28774.84
Mercedes,C Class,2013,Hybrid,Automatic,43827,3,1500,23208.29
Mercedes,E Class,2022,Petrol,Manual,91573,2,4000,36576.43
Audi,A6,2019,Hybrid,Manual,26351,0,3000,30241.08
Mercedes,E Class,2020,Electric,Manual,45713,2,1000,30726.54
Mercedes,C Class,2022,Electric,Automatic,52829,0,1500,40509.4
Audi,A4,2011,Electric,Automatic,16226,3,1000,15574.65
Audi,Q7,2016,Hybrid,Manual,2967,3,4000,21279.26
Bugatti,Chiron,2012,Diesel,Automatic,73691,2,2000,1473157.37
Bugatti,Chiron,2005,Petrol,Manual,21418,3,2000,1050451.27
Bugatti,Chiron,2019,Diesel,Manual,103075,0,1500,2047580.8
Mercedes,C Class,2006,Diesel,Automatic,67678,0,1000,18575.99
Porsche,Panamera,2007,Hybrid,Manual,19016,1,1500,33821.98
BMW,3 Series,2021,Petrol,Manual,9449,2,3000,33491.86
Bugatti,Chiron,2013,Petrol,Automatic,72401,3,1000,1545267.6
BMW,X5,2005,Electric,Manual,20312,0,4000,17088.67
Porsche,Cayenne,2008,Diesel,Manual,13487,3,4000,37961.59
Bugatti,Chiron,2017,Electric,Automatic,19438,0,1500,1941187.0
BMW,X5,2005,Diesel,Automatic,28978,2,4000,13441.85
BMW,5 Series,2013,Diesel,Automatic,13537,0,4000,30571.17
Bugatti,Chiron,2015,Electric,Automatic,88735,3,4000,1420882.82
Porsche,Cayenne,2011,Electric,Automatic,56059,3,4000,44543.31
Mercedes,GLE,2011,Hybrid,Automatic,68482,2,2000,19608.45
Mercedes,E Class,2005,Electric,Automatic,10721,1,1000,16760.94
Audi,A6,2007,Diesel,Automatic,3944,1,4000,16036.55
Mercedes,C Class,2021,Electric,Automatic,48767,0,1500,40423.17
Porsche,Cayenne,2005,Electric,Manual,80179,3,1500,36042.72
Bugatti,Chiron,2012,Electric,Manual,36227,2,3000,1496478.97
Audi,Q7,2010,Diesel,Automatic,12693,3,1000,12339.32
BMW,5 Series,2009,Petrol,Automatic,19731,0,2000,21143.7
Tesla,Model 3,2014,Petrol,Automatic,77557,0,4000,46338.52
Bugatti,Chiron,2016,Electric,Manual,50532,1,1000,1700174.5
Bugatti,Chiron,2008,Petrol,Automatic,20911,2,4000,1258105.56
BMW,X5,2013,Hybrid,Manual,97869,0,4000,23203.79
BMW,3 Series,2019,Petrol,Automatic,13581,1,1500,31992.46
Bugatti,Chiron,2011,Diesel,Manual,3676,2,2000,1334130.01
Porsche,Cayenne,2009,Electric,Automatic,1000,2,3000,39451.04
Bugatti,Chiron,2005,Petrol,Automatic,10252,3,3000,1028941.69
BMW,5 Series,2017,Diesel,Manual,65391,0,2000,33845.44
BMW,X5,2020,Petrol,Automatic,3970,0,1000,38268.42
Porsche,Cayenne,2022,Hybrid,Automatic,1000,1,1500,82948.33
Porsche,Cayenne,2016,Electric,Automatic,37872,0,4000,60628.52
Porsche,911,2006,Petrol,Automatic,144411,1,2000,33160.0
Porsche,911,2017,Petrol,Automatic,1077,0,2000,66223.45
BMW,X5,2017,Petrol,Manual,16945,2,4000,29653.04
Porsche,Cayenne,2009,Petrol,Automatic,28294,2,1500,40770.46
Bugatti,Chiron,2022,Petrol,Manual,15779,0,4000,2345858.77
Tesla,Model Y,2010,Diesel,Manual,14357,3,1000,26976.77
Porsche,Cayenne,2019,Hybrid,Automatic,30794,1,1500,69967.31
Tesla,Model S,2013,Petrol,Automatic,1317,1,3000,39039.7
Mercedes,E Class,2015,Electric,Manual,4728,3,4000,19641.15
Audi,A6,2012,Hybrid,Automatic,18124,2,3000,21063.99
Audi,Q7,2018,Diesel,Manual,219460,2,1500,22341.91
BMW,3 Series,2021,Petrol,Manual,52698,0,3000,36737.79
Porsche,Cayenne,2019,Petrol,Manual,14957,3,3000,64096.49
Audi,A6,2022,Hybrid,Manual,37611,3,1500,31217.05
Bugatti,Chiron,2022,Hybrid,Automatic,40662,0,4000,2333636.78
Porsche,Panamera,2011,Hybrid,Manual,34872,1,4000,47186.16
Tesla,Model X,2013,Electric,Manual,12842,0,2000,44839.39
Tesla,Model Y,2009,Diesel,Manual,34720,1,3000,30219.23
Audi,A6,2020,Diesel,Manual,7702,1,1500,31963.74
Porsche,Cayenne,2014,Electric,Manual,23695,2,3000,59743.19
Mercedes,C Class,2011,Diesel,Automatic,6985,2,4000,22683.56
Tesla,Model Y,2020,Petrol,Automatic,16844,3,1500,52821.93
BMW,5 Series,2008,Petrol,Automatic,24978,2,4000,17746.09
Bugatti,Chiron,2013,Diesel,Manual,4333,0,1500,1428996.72
Porsche,Cayenne,2017,Petrol,Automatic,13847,3,4000,58323.01
Tesla,Model Y,2015,Diesel,Automatic,14205,0,2000,40101.87
Bugatti,Chiron,2008,Petrol,Automatic,36274,2,3000,1333765.55
Porsche,Cayenne,2018,Electric,Manual,2674,2,1500,62189.59
Tesla,Model 3,2012,Petrol,Manual,35231,0,3000,41711.99
Mercedes,C Class,2012,Electric,Automatic,24872,2,4000,20151.47
Tesla,Model Y,2007,Diesel,Automatic,43744,0,1500,36348.77
Mercedes,C Class,2017,Electric,Manual,59913,1,3000,27023.67
Porsche,Panamera,2007,Petrol,Manual,47107,2,1500,35831.19
BMW,5 Series,2005,Electric,Automatic,75206,2,1500,15137.37
Tesla,Model 3,2017,Diesel,Manual,69101,1,2000,48438.62
Porsche,911,2022,Diesel,Manual,21971,3,3000,78546.83
Bugatti,Chiron,2018,Diesel,Automatic,1370,0,3000,2082762.07
BMW,3 Series,2006,Diesel,Automatic,51264,1,4000,13716.93
Porsche,911,2007,Electric,Automatic,1000,0,2000,39609.53
Bugatti,Chiron,2011,Hybrid,Manual,45396,0,3000,1406180.82
Porsche,911,2017,Diesel,Automatic,58391,0,1500,69601.09
Audi,Q7,2018,Diesel,Automatic,49563,1,3000,25069.49
Audi,Q7,2019,Petrol,Automatic,50628,0,2000,31259.93
Audi,A6,2016,Electric,Automatic,5267,1,2000,25645.83
Bugatti,Chiron,2013,Diesel,Manual,36737,3,2000,1612390.99
Porsche,Cayenne,2005,Petrol,Manual,3167,2,3000,37487.06
Porsche,Panamera,2014,Hybrid,Manual,30480,0,3000,51908.4
Bugatti,Chiron,2005,Petrol,Automatic,2827,0,2000,1219135.34
Mercedes,E Class,2018,Petrol,Manual,79633,0,4000,29155.12
Bugatti,Chiron,2005,Hybrid,Automatic,8728,2,1500,1073951.81
Mercedes,GLE,2017,Hybrid,Manual,9785,0,2000,34917.83
Mercedes,E Class,2006,Petrol,Manual,9244,0,1500,14034.03
